k,mean_acc,std_acc
64,0.27166894701010624,0.015510642523688178
128,0.2871885017813117,0.020617496703213986
256,0.2913274242694639,0.016874610616105973
512,0.3011008440575572,0.01562989475843042
1024,0.29661537546350464,0.019151040247538893
