timestamp,detector_type,codebook_size,classifier,mean_acc,std_acc
2025-12-04 15:23:04,SIFT,128,log_reg,0.2917888468071887,0.010424296504625983
2025-12-04 15:23:04,SIFT,128,svm_linear,0.28845458811709734,0.015465080826727965
2025-12-04 15:23:04,SIFT,128,svm_rbf,0.2975367664069058,0.012497162295325062
2025-12-04 15:23:04,SIFT,128,knn,0.19636513255735558,0.013794624721881074
2025-12-04 15:23:04,SIFT,128,rf,0.25614734323465066,0.015876679280601085
2025-12-04 16:21:35,SIFT,128,log_reg,0.2837406225007105,0.014827935976679255
2025-12-04 16:21:35,SIFT,128,svm_linear,0.28351027476486024,0.014513703224305136
2025-12-04 16:21:35,SIFT,128,svm_rbf,0.28799250461025955,0.017570763469813188
2025-12-04 16:21:35,SIFT,128,knn,0.19820573324608542,0.007380770805758876
2025-12-04 16:21:35,SIFT,128,rf,0.25028276258650434,0.017188991958471646
2025-12-04 16:25:43,SIFT,128,log_reg,0.25471264367816093,0.01217740012703359
2025-12-04 16:25:43,SIFT,128,svm_linear,0.25356321839080465,0.01247219128924646
2025-12-04 16:25:43,SIFT,128,svm_rbf,0.2551724137931034,0.008753762190648178
2025-12-04 16:25:43,SIFT,128,knn,0.17908045977011494,0.015862901860525067
2025-12-04 16:25:43,SIFT,128,rf,0.24011494252873566,0.010649411330483185
2025-12-04 16:33:03,SIFT,128,log_reg,0.27586206896551724,0.012207740733197012
2025-12-04 16:33:03,SIFT,128,svm_linear,0.2805747126436782,0.014032406861638489
2025-12-04 16:33:03,SIFT,128,svm_rbf,0.2818390804597701,0.015059664664321811
2025-12-04 16:33:03,SIFT,128,knn,0.19827586206896552,0.008532111981561214
2025-12-04 16:33:03,SIFT,128,rf,0.25471264367816093,0.015907813432623638
2025-12-04 16:47:26,SIFT,128,log_reg,0.306551724137931,0.014664072123050155
2025-12-04 16:47:26,SIFT,128,svm_linear,0.3002298850574713,0.017986210422395815
2025-12-04 16:47:26,SIFT,128,svm_rbf,0.30873563218390804,0.011293651824888853
2025-12-04 16:47:26,SIFT,128,knn,0.21195402298850574,0.010961203035753691
2025-12-04 16:47:26,SIFT,128,rf,0.2882758620689655,0.017434171150035503
2025-12-04 16:56:12,SIFT,128,log_reg,0.28402298850574714,0.00663687357850669
2025-12-04 16:56:12,SIFT,128,svm_linear,0.2780459770114942,0.009550610610501605
2025-12-04 16:56:12,SIFT,128,svm_rbf,0.2908045977011494,0.011895302283214034
2025-12-04 16:56:12,SIFT,128,knn,0.2050574712643678,0.004975830074003071
2025-12-04 16:56:12,SIFT,128,rf,0.2689655172413793,0.005292351463550035
2025-12-04 17:04:19,SIFT,128,log_reg,0.29287356321839086,0.01075557477268009
2025-12-04 17:04:19,SIFT,128,svm_linear,0.293448275862069,0.00686390741463615
2025-12-04 17:04:19,SIFT,128,svm_rbf,0.2960919540229885,0.006053882336672965
2025-12-04 17:04:19,SIFT,128,knn,0.21298850574712644,0.006940473167563461
2025-12-04 17:04:19,SIFT,128,rf,0.27298850574712646,0.009387364132917424
2025-12-04 17:42:19,SIFT,128,log_reg,0.3044827586206897,0.00939721077515849
2025-12-04 17:42:19,SIFT,128,svm_linear,0.3047126436781609,0.011357810875435055
2025-12-04 17:42:19,SIFT,128,svm_rbf,0.3156321839080459,0.009390178512873599
2025-12-04 17:42:19,SIFT,128,knn,0.21183908045977012,0.003572475923659783
2025-12-04 17:42:19,SIFT,128,rf,0.2824137931034483,0.006508224214663022
